vid_id,start,stop
1863051677,0:11:56,0:12:20
1863051677,0:12:33,0:13:10
1863051677,0:14:20,0:14:32
1863051677,0:15:21,0:15:32
1863051677,0:16:30,0:16:47
1863051677,0:17:45,0:18:00
1863051677,0:22:04,0:22:15
1863051677,0:22:20,0:22:36
1863051677,0:23:00,0:23:22
1863051677,0:25:15,0:25:36
1863051677,0:26:25,0:25:37
1863051677,0:27:08,0:27:16
1863051677,0:28:00,0:28:22
1863051677,0:30:08,0:30:45
1863051677,0:31:00,0:31:20
1863051677,0:54:15,0:54:34
1863051677,0:55:26,0:55:50
1863051677,0:57:17,0:57:32
1863051677,0:58:38,0:58:54
1863051677,0:58:34,0:59:44
1863051677,1:00:28,1:00:43
1863051677,1:01:15,1:01:30
1863051677,1:02:55,1:03:28
1863051677,1:05:20,1:05:42
1863051677,1:08:20,1:09:22
1863051677,1:10:15,1:10:55
1863051677,1:11:20,1:11:38
1863051677,1:13:28,1:14:00
1863051677,1:15:07,1:15:48
1863051677,1:16:58,1:17:38
1863051677,1:17:53,1:18:24
1863051677,1:19:32,1:20:00
1863051677,1:33:00,1:34:00
1863051677,1:35:05,1:35:27
1863051677,1:36:40,1:36:57
1863051677,1:38:37,1:39:00
1863051677,1:37:55,1:40:22
1863051677,1:41:40,1:41:55
1863051677,1:42:40,1:43:06
1863051677,1:43:20,1:43:29
1863051677,1:43:36,1:43:45
1863051677,1:45:48,1:46:19
1863051677,1:47:03,1:47:22
1863051677,1:50:00,1:50:08
1863051677,1:51:35,1:52:10
1863051677,1:53:45,1:53:55
1863051677,1:54:40,1:55:23
1863051677,1:56:25,1:56:48
1863051677,1:57:28,1:57:38
1863051677,1:59:15,1:59:26
1863051677,2:14:07,2:14:22
1863051677,2:16:05,2:16:15
1863051677,2:17:55,2:18:05
1863051677,2:18:47,2:18:57
1863051677,2:19:53,2:20:02
1863051677,2:24:20,2:24:30
1863051677,2:25:30,2:25:55
1863051677,2:27:55,2:28:03
1863051677,2:31:23,2:31:30
1863051677,2:33:47,2:34:05
1863051677,2:35:55,2:36:07
1863051677,2:37:35,2:37:43
1863051677,2:38:45,2:38:55
1863051677,2:48:25,2:48:55
1863051677,2:50:30,2:50:47
1863051677,2:51:18,2:51:45
1863051677,2:52:15,2:52:43
1863051677,2:54:25,2:54:40
1863051677,2:55:40,2:55:57
1863051677,2:58:08,2:58:14
1863051677,2:59:15,3:00:00
1863051677,3:02:00,3:02:08
1863051677,3:02:55,3:03:05
1863051677,3:03:16,3:03:52
1863051677,3:04:20,3:04:58
1863051677,3:06:50,3:07:21
1863051677,3:09:08,3:09:40
1863051677,3:10:17,3:11:07
1863051677,3:21:04,3:21:17
1863051677,3:21:55,3:22:08
1863051677,3:22:42,3:22:49
1863051677,3:24:05,3:24:20
1863051677,3:26:34,3:26:45
1863051677,3:29:20,3:29:28
1863051677,3:30:31,3:30:38
1863051677,3:32:20,3:32:33
1863051677,3:34:40,3:34:54
1863051677,3:36:15,3:36:25
1863051677,3:37:20,3:37:29
1863051677,3:38:22,3:38:56
1863051677,3:39:15,3:39:27
1863051677,3:39:35,3:39:43
1863051677,3:39:47,3:39:53
1863051677,3:41:28,3:41:42
1863051677,3:43:22,3:43:41
1863051677,3:44:49,3:45:01
1863051677,3:46:42,3:47:07
1863051677,3:49:30,3:49:46
1863051677,3:50:42,3:51:02
1863051677,3:53:15,3:53:25
1863051677,4:06:45,4:07:09
1863051677,4:08:12,4:08:27
1863051677,4:09:20,4:09:28
1863051677,4:10:20,4:10:47
1863051677,4:11:55,4:12:05
1863051677,4:12:55,4:13:08
1863051677,4:13:17,4:13:23
1863051677,4:14:15,4:14:30
1863051677,4:15:38,4:15:45
1863051677,4:17:40,4:17:47
1863051677,4:18:33,4:18:40
1863051677,4:19:26,4:19:37
1863051677,4:20:13,4:20:21
1863051677,4:21:57,4:22:13
1863051677,4:22:20,4:22:31
1863051677,4:22:50,4:22:58
1863051677,4:24:35,4:24:45
1863051677,4:26:03,4:26:16
1863051677,4:27:03,4:27:10
1863051677,4:27:26,4:27:42
1863051677,4:29:45,4:30:16
1863051677,4:31:27,4:31:45
1863051677,4:32:58,4:33:10
1863051677,4:33:36,4:33:47
1863051677,4:34:22,4:34:28
1863051677,4:35:55,4:36:17
1863051677,4:38:40,4:39:04